Ranking,IMDByear,IMDBlink,Title,RunTime,Genre,Rating,Score,Votes,Gross,Director,Cast1,Cast2,Cast3,Cast4
30,2009,https://www.imdb.com/title/tt1447500/?ref_=adv_li_tt,Magadheera,147,"Action, Drama, Fantasy",7.7,,23680,,S.S. Rajamouli,Ram Charan,Kajal Aggarwal,Dev Gill,Srihari
31,2009,https://www.imdb.com/title/tt1368491/?ref_=adv_li_tt,Undertow,97,"Drama, Fantasy, Romance",7.7,76.0,7038,,Javier Fuentes-León,Cristian Mercado,Tatiana Astengo,Manolo Cardona,Attilia Boschetti
32,2009,https://www.imdb.com/title/tt1124052/?ref_=adv_li_tt,City of Life and Death,133,"Drama, History, War",7.7,85.0,11328,0.12M,Chuan Lu,Ye Liu,Wei Fan,Hideo Nakaizumi,Yuanyuan Gao
33,2009,https://www.imdb.com/title/tt0409459/?ref_=adv_li_tt,Watchmen,162,"Action, Drama, Mystery",7.6,56.0,560687,107.51M,Zack Snyder,Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman
34,2009,https://www.imdb.com/title/tt1156398/?ref_=adv_li_tt,Zombieland,88,"Action, Comedy, Horror",7.6,73.0,591285,75.59M,Ruben Fleischer,Jesse Eisenberg,Emma Stone,Woody Harrelson,Abigail Breslin
35,2009,https://www.imdb.com/title/tt0417741/?ref_=adv_li_tt,Harry Potter and the Half-Blood Prince,153,"Action, Adventure, Family",7.6,78.0,560382,301.96M,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon
36,2009,https://www.imdb.com/title/tt0878804/?ref_=adv_li_tt,The Blind Side,129,"Biography, Drama, Sport",7.6,53.0,341733,255.96M,John Lee Hancock,Quinton Aaron,Sandra Bullock,Tim McGraw,Jae Head
37,2009,https://www.imdb.com/title/tt0988045/?ref_=adv_li_tt,Sherlock Holmes,128,"Action, Adventure, Mystery",7.6,57.0,645357,209.03M,Guy Ritchie,Robert Downey Jr.,Jude Law,Rachel McAdams,Mark Strong
38,2009,https://www.imdb.com/title/tt0485601/?ref_=adv_li_tt,The Secret of Kells,75,"Animation, Adventure, Family",7.6,81.0,36662,0.69M,Tomm Moore,Nora Twomey,Evan McGuire,Brendan Gleeson,Mick Lally
39,2009,https://www.imdb.com/title/tt1242422/?ref_=adv_li_tt,Celda 211,113,"Action, Adventure, Crime",7.6,,68947,,Daniel Monzón,Luis Tosar,Alberto Ammann,Antonio Resines,Manuel Morón
40,2009,https://www.imdb.com/title/tt1324059/?ref_=adv_li_tt,Wake Up Sid,138,"Comedy, Drama, Romance",7.6,,32387,0.72M,Ayan Mukerji,Ranbir Kapoor,Konkona Sen Sharma,Supriya Pathak,Anupam Kher
41,2009,https://www.imdb.com/title/tt1355546/?ref_=adv_li_tt,Ayan,162,Action,7.6,,11035,,K.V. Anand,Suriya,Tamannaah Bhatia,Prabhu,Jagan
42,2009,https://www.imdb.com/title/tt1315981/?ref_=adv_li_tt,A Single Man,99,"Crime, Drama, Romance",7.5,77.0,114560,9.17M,Tom Ford,Colin Firth,Julianne Moore,Matthew Goode,Nicholas Hoult
43,2009,https://www.imdb.com/title/tt1483797/?ref_=adv_li_tt,Redline,102,"Animation, Action, Sci-Fi",7.5,,15292,,Takeshi Koike,Takuya Kimura,Yû Aoi,Tadanobu Asano,Yoshiyuki Morishita
44,2009,https://www.imdb.com/title/tt1127715/?ref_=adv_li_tt,Sin Nombre,96,"Adventure, Crime, Drama",7.5,77.0,33387,2.53M,Cary Joji Fukunaga,Paulina Gaitan,Marco Antonio Aguirre,Leonardo Alonso,Karla Cecilia Alvarado
45,2009,https://www.imdb.com/title/tt1226271/?ref_=adv_li_tt,The Damned United,98,"Biography, Drama, Sport",7.5,81.0,44734,0.45M,Tom Hooper,Colm Meaney,Henry Goodman,David Roper,Jimmy Reddington
46,2009,https://www.imdb.com/title/tt1434447/?ref_=adv_li_tt,Rocket Singh: Salesman of the Year,150,"Comedy, Drama",7.5,,21056,,Shimit Amin,Ranbir Kapoor,Prem Chopra,Mukesh S. Bhatt,D. Santosh
47,2009,https://www.imdb.com/title/tt1485763/?ref_=adv_li_tt,Wan pisu firumu: sutorongu warudo,113,"Animation, Action, Adventure",7.5,,6148,,Munehisa Sakai,Felecia Angelle,Bryan Baker,Jeff Banks,Christopher Bevins
48,2009,https://www.imdb.com/title/tt1326972/?ref_=adv_li_tt,Red Cliff II,142,"Action, Adventure, Drama",7.5,,24716,0.63M,John Woo,Tony Leung Chiu-wai,Takeshi Kaneshiro,Fengyi Zhang,Chang Chen
49,2009,https://www.imdb.com/title/tt1320082/?ref_=adv_li_tt,The Concert,119,"Comedy, Drama, Music",7.5,60.0,18342,0.66M,Radu Mihaileanu,Aleksey Guskov,Mélanie Laurent,Dmitriy Nazarov,François Berléand
50,2009,https://www.imdb.com/title/tt1314280/?ref_=adv_li_tt,Welcome,110,Drama,7.5,61.0,7478,0.01M,Philippe Lioret,Vincent Lindon,Firat Ayverdi,Audrey Dana,Derya Ayverdi
51,2009,https://www.imdb.com/title/tt1558877/?ref_=adv_li_tt,Vavien,100,"Comedy, Drama, Thriller",7.5,,13183,,Durul Taylan,Yagmur Taylan,Engin Günaydin,Binnur Kaya,Settar Tanriögen
52,2009,https://www.imdb.com/title/tt1197624/?ref_=adv_li_tt,Law Abiding Citizen,109,"Action, Crime, Drama",7.4,34.0,304776,73.34M,F. Gary Gray,Gerard Butler,Jamie Foxx,Leslie Bibb,Colm Meaney
53,2009,https://www.imdb.com/title/tt1193138/?ref_=adv_li_tt,Up in the Air,109,"Comedy, Drama, Romance",7.4,83.0,340808,83.82M,Jason Reitman,George Clooney,Vera Farmiga,Anna Kendrick,Jason Bateman
54,2009,https://www.imdb.com/title/tt1226774/?ref_=adv_li_tt,In the Loop,106,Comedy,7.4,83.0,59537,2.38M,Armando Iannucci,Tom Hollander,Peter Capaldi,James Gandolfini,Harry Hadden-Paton
55,2009,https://www.imdb.com/title/tt1190536/?ref_=adv_li_tt,Black Dynamite,84,"Action, Comedy",7.4,65.0,50072,0.23M,Scott Sanders,Michael Jai White,Arsenio Hall,Tommy Davidson,Phyllis Applegate
56,2009,https://www.imdb.com/title/tt1424797/?ref_=adv_li_tt,I Killed My Mother,96,"Drama, Romance",7.4,77.0,30498,,Xavier Dolan,Anne Dorval,Xavier Dolan,François Arnaud,Suzanne Clément
57,2009,https://www.imdb.com/title/tt1474276/?ref_=adv_li_tt,Summer Wars,114,"Animation, Action, Adventure",7.4,63.0,30477,0.08M,Mamoru Hosoda,Ryunosuke Kamiki,Nanami Sakuraba,Mitsuki Tanimura,Takahiro Yokokawa
58,2009,https://www.imdb.com/title/tt1174730/?ref_=adv_li_tt,City Island,104,"Comedy, Drama",7.4,66.0,32033,6.67M,Raymond De Felitta,Andy Garcia,Julianna Margulies,Steven Strait,Emily Mortimer
59,2009,https://www.imdb.com/title/tt1274295/?ref_=adv_li_tt,Kaminey,130,"Action, Crime, Drama",7.4,,17565,1.29M,Vishal Bhardwaj,Shahid Kapoor,Priyanka Chopra Jonas,Deb Mukherjee,Shivkumar Subramaniam
60,2009,https://www.imdb.com/title/tt1433540/?ref_=adv_li_tt,A Town Called Panic,75,"Animation, Adventure, Comedy",7.4,70.0,8397,0.17M,Stéphane Aubier,Vincent Patar,Stéphane Aubier,Jeanne Balibar,Nicolas Buysse
61,2009,https://www.imdb.com/title/tt1567448/?ref_=adv_li_tt,Yahsi Bati,112,"Adventure, Comedy, Fantasy",7.4,,36719,,Ömer Faruk Sorak,Cem Yilmaz,Ozan Güven,Demet Evgar,Zafer Algöz
62,2009,https://www.imdb.com/title/tt1526323/?ref_=adv_li_tt,Arya 2,155,"Action, Comedy, Romance",7.4,,6967,,Sukumar,Allu Arjun,Kajal Aggarwal,Navdeep,Mukesh Rishi
63,2009,https://www.imdb.com/title/tt1078588/?ref_=adv_li_tt,My Sister's Keeper,109,"Drama, Family",7.3,51.0,95187,49.20M,Nick Cassavetes,Cameron Diaz,Abigail Breslin,Alec Baldwin,Walter Raney
64,2009,https://www.imdb.com/title/tt0929632/?ref_=adv_li_tt,Precious,110,Drama,7.3,78.0,112972,47.57M,Lee Daniels,Gabourey Sidibe,Mo'Nique,Paula Patton,Mariah Carey
65,2009,https://www.imdb.com/title/tt1057500/?ref_=adv_li_tt,Invictus,134,"Action, Adventure, Biography",7.3,74.0,162848,37.49M,Clint Eastwood,Morgan Freeman,Matt Damon,Tony Kgoroge,Patrick Mofokeng
66,2009,https://www.imdb.com/title/tt1174732/?ref_=adv_li_tt,An Education,100,Drama,7.3,85.0,135944,12.57M,Lone Scherfig,Carey Mulligan,Peter Sarsgaard,Alfred Molina,Olivia Williams
67,2009,https://www.imdb.com/title/tt1131729/?ref_=adv_li_tt,The Boat That Rocked,117,"Comedy, Drama, Music",7.3,58.0,113456,7.99M,Richard Curtis,Philip Seymour Hoffman,Bill Nighy,Nick Frost,Michael Hadley
68,2009,https://www.imdb.com/title/tt1232776/?ref_=adv_li_tt,Fish Tank,123,Drama,7.3,81.0,63615,0.37M,Andrea Arnold,Katie Jarvis,Michael Fassbender,Kierston Wareing,Rebecca Griffiths
69,2009,https://www.imdb.com/title/tt1071812/?ref_=adv_li_tt,Mao's Last Dancer,117,"Biography, Drama, Music",7.3,55.0,8071,4.81M,Bruce Beresford,Chi Cao,Bruce Greenwood,Kyle MacLachlan,Penne Hackforth-Jones
70,2009,https://www.imdb.com/title/tt1343097/?ref_=adv_li_tt,The Girl Who Kicked the Hornet's Nest,147,"Crime, Drama, Thriller",7.3,60.0,72905,5.43M,Daniel Alfredson,Michael Nyqvist,Noomi Rapace,Lena Endre,Annika Hallin
71,2009,https://www.imdb.com/title/tt1054580/?ref_=adv_li_tt,Desert Flower,120,"Biography, Drama",7.3,54.0,13642,0.04M,Sherry Hormann,Soraya Omar-Scego,Idriss Abdillahi Houfaneh,Awa Saïd Darar,Roun Daher Aïnan
72,2009,https://www.imdb.com/title/tt1424327/?ref_=adv_li_tt,Eyes Wide Open,91,"Drama, Romance",7.3,70.0,6475,0.02M,Haim Tabakman,Zohar Strauss,Ran Danker,Tinkerbell,Tzahi Grad
73,2009,https://www.imdb.com/title/tt1075110/?ref_=adv_li_tt,The Misfortunates,108,"Comedy, Drama",7.3,54.0,11119,,Felix van Groeningen,Kenneth Vanbaeden,Valentijn Dhaenens,Koen De Graeve,Wouter Hendrickx
74,2009,https://www.imdb.com/title/tt1187044/?ref_=adv_li_tt,The Maid,95,"Comedy, Drama",7.3,82.0,6212,0.55M,Sebastián Silva,Catalina Saavedra,Claudia Celedón,Mariana Loyola,Andrea García-Huidobro
75,2009,https://www.imdb.com/title/tt1337032/?ref_=adv_li_tt,Trailer Park Boys: Countdown to Liquor Day,102,"Comedy, Crime",7.3,,7641,,Mike Clattenburg,Robb Wells,John Paul Tremblay,Mike Smith,John Dunsworth
76,2009,https://www.imdb.com/title/tt1385824/?ref_=adv_li_tt,13B: Fear Has a New Address,146,"Drama, Horror, Mystery",7.3,,7745,0.03M,Vikram K. Kumar,Madhavan,Nitu Chandra,Poonam Dhillon,Saranya Ponvannan
77,2009,https://www.imdb.com/title/tt1442519/?ref_=adv_li_tt,The Hedgehog,100,Drama,7.3,64.0,9520,,Mona Achache,Josiane Balasko,Garance Le Guillermic,Togo Igawa,Anne Brochet
78,2009,https://www.imdb.com/title/tt1513713/?ref_=adv_li_tt,Love in Another Language,98,Drama,7.3,,7040,,Ilksen Basarir,Mert Firat,Saadet Aksoy,Lale Mansur,Emre Karayel
79,2009,https://www.imdb.com/title/tt1077262/?ref_=adv_li_tt,Ajami,124,"Crime, Drama",7.3,82.0,6327,0.62M,Scandar Copti,Yaron Shani,Fouad Habash,Nisrin Siksik,Elias Saba
80,2009,https://www.imdb.com/title/tt1650844/?ref_=adv_li_tt,Escaping Tel Aviv,119,"Action, Adventure, Drama",7.3,,5891,,Sharif Arafah,Sherif Mounir,Karim Abdel Aziz,Mona Zaki,Kinda Alloush
81,2009,https://www.imdb.com/title/tt1379182/?ref_=adv_li_tt,Dogtooth,97,"Drama, Thriller",7.2,73.0,100051,0.11M,Yorgos Lanthimos,Christos Stergioglou,Michele Valley,Angeliki Papoulia,Christos Passalis
82,2009,https://www.imdb.com/title/tt0898367/?ref_=adv_li_tt,The Road,111,"Drama, Fantasy",7.2,64.0,244494,0.06M,John Hillcoat,Viggo Mortensen,Charlize Theron,Kodi Smit-McPhee,Robert Duvall
83,2009,https://www.imdb.com/title/tt1191111/?ref_=adv_li_tt,Enter the Void,161,"Drama, Fantasy",7.2,69.0,83359,0.34M,Gaspar Noé,Nathaniel Brown,Paz de la Huerta,Cyril Roy,Olly Alexander
84,2009,https://www.imdb.com/title/tt1263670/?ref_=adv_li_tt,Crazy Heart,112,"Drama, Music, Romance",7.2,83.0,91859,39.46M,Scott Cooper,Jeff Bridges,Maggie Gyllenhaal,Colin Farrell,James Keane
85,2009,https://www.imdb.com/title/tt0962736/?ref_=adv_li_tt,The Young Victoria,105,"Biography, Drama, History",7.2,64.0,63553,11.00M,Jean-Marc Vallée,Emily Blunt,Rupert Friend,Paul Bettany,Miranda Richardson
86,2009,https://www.imdb.com/title/tt1289406/?ref_=adv_li_tt,Harry Brown,103,"Action, Crime, Drama",7.2,55.0,89238,1.82M,Daniel Barber,Michael Caine,Emily Mortimer,David Bradley,Charlie Creed-Miles
87,2009,https://www.imdb.com/title/tt1194238/?ref_=adv_li_tt,Polytechnique,77,"Crime, Drama, History",7.2,63.0,17433,,Denis Villeneuve,Maxim Gaudette,Sébastien Huberdeau,Karine Vanasse,Martin Watier
88,2009,https://www.imdb.com/title/tt1244668/?ref_=adv_li_tt,Soul Kitchen,99,"Comedy, Drama",7.2,76.0,39233,0.27M,Fatih Akin,Adam Bousdoukos,Moritz Bleibtreu,Pheline Roggan,Anna Bederke
89,2009,https://www.imdb.com/title/tt1121977/?ref_=adv_li_tt,Mother and Child,125,"Drama, Romance",7.2,64.0,12481,1.11M,Rodrigo García,Naomi Watts,Annette Bening,Kerry Washington,Alexandria M. Salling
90,2009,https://www.imdb.com/title/tt0913425/?ref_=adv_li_tt,Broken Embraces,127,"Drama, Romance, Thriller",7.2,76.0,41692,5.01M,Pedro Almodóvar,Penélope Cruz,Lluís Homar,Blanca Portillo,José Luis Gómez
91,2009,https://www.imdb.com/title/tt1124377/?ref_=adv_li_tt,John Rabe,134,"Biography, Drama, History",7.2,57.0,6576,0.07M,Florian Gallenberger,Ulrich Tukur,Daniel Brühl,Steve Buscemi,Anne Consigny
92,2009,https://www.imdb.com/title/tt1232831/?ref_=adv_li_tt,Crows Zero II,133,"Action, Comedy, Crime",7.2,,5183,,Takashi Miike,Shun Oguri,Kyôsuke Yabe,Meisa Kuroki,Kenta Kiritani
93,2009,https://www.imdb.com/title/tt0765010/?ref_=adv_li_tt,Brothers,105,"Drama, Thriller, War",7.1,58.0,134389,28.50M,Jim Sheridan,Jake Gyllenhaal,Natalie Portman,Tobey Maguire,Sam Shepard
94,2009,https://www.imdb.com/title/tt0780521/?ref_=adv_li_tt,The Princess and the Frog,97,"Animation, Adventure, Comedy",7.1,73.0,152285,104.40M,Ron Clements,John Musker,Anika Noni Rose,Keith David,Oprah Winfrey
95,2009,https://www.imdb.com/title/tt0452694/?ref_=adv_li_tt,The Time Traveler's Wife,107,"Comedy, Drama, Fantasy",7.1,47.0,153694,63.41M,Robert Schwentke,Eric Bana,Rachel McAdams,Ron Livingston,Michelle Nolden
96,2009,https://www.imdb.com/title/tt0473705/?ref_=adv_li_tt,State of Play,127,"Crime, Drama, Mystery",7.1,64.0,154899,37.02M,Kevin Macdonald,Russell Crowe,Rachel McAdams,Ben Affleck,Helen Mirren
97,2009,https://www.imdb.com/title/tt0762073/?ref_=adv_li_tt,Thirst,134,"Drama, Fantasy, Horror",7.1,73.0,48936,0.30M,Park Chan-wook,Song Kang-ho,Kim Ok-bin,Hee-jin Choi,Seo Dong-soo
98,2009,https://www.imdb.com/title/tt1266029/?ref_=adv_li_tt,Nowhere Boy,98,"Biography, Drama, Music",7.1,67.0,37716,1.45M,Sam Taylor-Johnson,Aaron Taylor-Johnson,Kristin Scott Thomas,Anne-Marie Duff,David Threlfall
99,2009,https://www.imdb.com/title/tt1186830/?ref_=adv_li_tt,Agora,127,"Adventure, Biography, Drama",7.1,55.0,71109,0.62M,Alejandro Amenábar,Rachel Weisz,Max Minghella,Oscar Isaac,Ashraf Barhom
100,2009,https://www.imdb.com/title/tt1216487/?ref_=adv_li_tt,The Girl Who Played with Fire,129,"Action, Crime, Drama",7.1,66.0,96586,9.08M,Daniel Alfredson,Noomi Rapace,Michael Nyqvist,Lena Endre,Peter Andersson
101,2009,https://www.imdb.com/title/tt1178663/?ref_=adv_li_tt,Whatever Works,93,"Comedy, Romance",7.1,45.0,75240,5.31M,Woody Allen,Evan Rachel Wood,Larry David,Henry Cavill,Adam Brooks
102,2009,https://www.imdb.com/title/tt1185836/?ref_=adv_li_tt,Adam,99,"Comedy, Drama, Romance",7.1,56.0,35069,2.28M,Max Mayer,Hugh Dancy,Rose Byrne,Peter Gallagher,Amy Irving
103,2009,https://www.imdb.com/title/tt0790712/?ref_=adv_li_tt,The Messenger,113,"Drama, Romance, War",7.1,77.0,35858,0.07M,Oren Moverman,Ben Foster,Samantha Morton,Woody Harrelson,Jena Malone
104,2009,https://www.imdb.com/title/tt0780511/?ref_=adv_li_tt,Everybody's Fine,99,"Adventure, Drama",7.1,47.0,62596,8.86M,Kirk Jones,Robert De Niro,Kate Beckinsale,Sam Rockwell,Drew Barrymore
105,2009,https://www.imdb.com/title/tt1149361/?ref_=adv_li_tt,Micmacs,105,"Action, Comedy, Crime",7.1,62.0,30714,1.26M,Jean-Pierre Jeunet,Dany Boon,André Dussollier,Nicolas Marié,Yolande Moreau
106,2009,https://www.imdb.com/title/tt1264904/?ref_=adv_li_tt,Little Nicholas,91,"Comedy, Family",7.1,,13625,,Laurent Tirard,Maxime Godart,Vincent Claude,Charles Vaillant,Victor Carles
107,2009,https://www.imdb.com/title/tt1242545/?ref_=adv_li_tt,Looking for Eric,116,"Comedy, Drama, Fantasy",7.1,66.0,17499,0.06M,Ken Loach,Steve Evets,Eric Cantona,Stephanie Bishop,Gerard Kearns
108,2009,https://www.imdb.com/title/tt0886539/?ref_=adv_li_tt,Luck by Chance,156,Drama,7.1,58.0,10558,0.36M,Zoya Akhtar,Farhan Akhtar,Konkona Sen Sharma,Rishi Kapoor,Dimple Kapadia
109,2009,https://www.imdb.com/title/tt1532957/?ref_=adv_li_tt,Paa,133,"Comedy, Drama",7.1,30.0,12309,0.20M,R. Balki,Amitabh Bachchan,Abhishek Bachchan,Vidya Balan,Paresh Rawal
110,2009,https://www.imdb.com/title/tt1371574/?ref_=adv_li_tt,Kosmos,122,"Drama, Fantasy",7.1,,5046,,Reha Erdem,Sermet Yesil,Türkü Turan,Serkan Keskin,Hakan Altuntas
111,2009,https://www.imdb.com/title/tt1426378/?ref_=adv_li_tt,No One Knows About Persian Cats,106,"Drama, Music",7.1,71.0,7349,0.08M,Bahman Ghobadi,Negar Shaghaghi,Ashkan Koshanejad,Hamed Behdad,Babak Mirzakhani
112,2009,https://www.imdb.com/title/tt1148204/?ref_=adv_li_tt,Orphan,123,"Horror, Mystery, Thriller",7.0,42.0,237464,41.60M,Jaume Collet-Serra,Vera Farmiga,Peter Sarsgaard,Isabelle Fuhrman,CCH Pounder
113,2009,https://www.imdb.com/title/tt1155056/?ref_=adv_li_tt,"I Love You, Man",105,"Comedy, Romance",7.0,70.0,210887,71.44M,John Hamburg,Paul Rudd,Jason Segel,Rashida Jones,Sarah Burns
114,2009,https://www.imdb.com/title/tt1152836/?ref_=adv_li_tt,Public Enemies,140,"Action, Biography, Crime",7.0,70.0,308643,97.10M,Michael Mann,Christian Bale,Johnny Depp,Christian Stolte,Jason Clarke
115,2009,https://www.imdb.com/title/tt0472033/?ref_=adv_li_tt,9,79,"Animation, Action, Adventure",7.0,60.0,142697,31.74M,Shane Acker,Elijah Wood,Jennifer Connelly,Crispin Glover,Christopher Plummer
116,2009,https://www.imdb.com/title/tt1135503/?ref_=adv_li_tt,Julie & Julia,123,"Biography, Drama, Romance",7.0,66.0,123351,94.13M,Nora Ephron,Amy Adams,Meryl Streep,Chris Messina,Stanley Tucci
117,2009,https://www.imdb.com/title/tt1019452/?ref_=adv_li_tt,A Serious Man,106,"Comedy, Drama",7.0,86.0,145455,9.19M,Ethan Coen,Joel Coen,Michael Stuhlbarg,Richard Kind,Sari Lennick
118,2009,https://www.imdb.com/title/tt1226236/?ref_=adv_li_tt,I Am Love,120,"Drama, Romance",7.0,79.0,23169,5.01M,Luca Guadagnino,Tilda Swinton,Flavio Parenti,Edoardo Gabbriellini,Alba Rohrwacher
119,2009,https://www.imdb.com/title/tt1176740/?ref_=adv_li_tt,Away We Go,98,"Adventure, Comedy, Drama",7.0,58.0,54270,9.45M,Sam Mendes,John Krasinski,Maya Rudolph,Allison Janney,Carmen Ejogo
120,2009,https://www.imdb.com/title/tt0910554/?ref_=adv_li_tt,Frequently Asked Questions About Time Travel,83,"Comedy, Sci-Fi",7.0,,35176,,Gareth Carrivick,Chris O'Dowd,Marc Wootton,Dean Lennox Kelly,Anna Faris
121,2009,https://www.imdb.com/title/tt1320352/?ref_=adv_li_tt,Nothing Personal,85,Drama,7.0,71.0,5197,,Urszula Antoniak,Lotte Verbeek,Stephen Rea,Tom Charlfa,Ann Marie Horan
122,2009,https://www.imdb.com/title/tt1194263/?ref_=adv_li_tt,Get Low,103,"Drama, Mystery",7.0,77.0,23573,9.18M,Aaron Schneider,Robert Duvall,Bill Murray,Sissy Spacek,Lucas Black
123,2009,https://www.imdb.com/title/tt0806029/?ref_=adv_li_tt,Farewell,113,"Drama, Romance, Thriller",7.0,74.0,6831,,Christian Carion,Guillaume Canet,Emir Kusturica,Alexandra Maria Lara,Ingeborga Dapkunaite
124,2009,https://www.imdb.com/title/tt1337051/?ref_=adv_li_tt,"Police, Adjective",113,"Crime, Drama",7.0,81.0,5213,0.05M,Corneliu Porumboiu,Dragos Bucur,Vlad Ivanov,Ion Stoica,Irina Saulescu
125,2009,https://www.imdb.com/title/tt0844471/?ref_=adv_li_tt,Cloudy with a Chance of Meatballs,90,"Animation, Adventure, Comedy",6.9,66.0,241631,124.87M,Phil Lord,Christopher Miller,Anna Faris,Bill Hader,Bruce Campbell
126,2009,https://www.imdb.com/title/tt1187064/?ref_=adv_li_tt,Triangle,99,"Fantasy, Mystery, Sci-Fi",6.9,,120499,,Christopher Smith,Melissa George,Joshua McIvor,Jack Taylor,Michael Dorman
127,2009,https://www.imdb.com/title/tt1080016/?ref_=adv_li_tt,Ice Age: Dawn of the Dinosaurs,94,"Animation, Adventure, Comedy",6.9,50.0,251951,196.57M,Carlos Saldanha,Michael Thurmeier,Ray Romano,John Leguizamo,Denis Leary
128,2009,https://www.imdb.com/title/tt1172233/?ref_=adv_li_tt,Whip It,111,"Drama, Sport",6.9,68.0,68679,13.04M,Drew Barrymore,Elliot Page,Drew Barrymore,Kristen Wiig,Sarah Habel
129,2009,https://www.imdb.com/title/tt1262981/?ref_=adv_li_tt,World's Greatest Dad,99,"Comedy, Drama",6.9,69.0,39776,0.22M,Bobcat Goldthwait,Robin Williams,Daryl Sabara,Morgan Murphy,Naomi Glick
130,2009,https://www.imdb.com/title/tt0810784/?ref_=adv_li_tt,Bright Star,119,"Biography, Drama, Romance",6.9,81.0,28017,4.44M,Jane Campion,Abbie Cornish,Ben Whishaw,Paul Schneider,Kerry Fox
131,2009,https://www.imdb.com/title/tt1135952/?ref_=adv_li_tt,White Material,106,"Drama, War",6.9,81.0,8071,0.30M,Claire Denis,Isabelle Huppert,Christopher Lambert,Isaach De Bankolé,Nicolas Duvauchelle
132,2009,https://www.imdb.com/title/tt0824758/?ref_=adv_li_tt,The Last Station,112,"Biography, Drama, Romance",6.9,76.0,18826,6.62M,Michael Hoffman,Helen Mirren,James McAvoy,Christopher Plummer,Paul Giamatti
133,2009,https://www.imdb.com/title/tt1371630/?ref_=adv_li_tt,Air Doll,125,"Drama, Fantasy, Romance",6.9,65.0,7563,,Kore-eda Hirokazu,Bae Doona,Arata Iura,Itsuji Itao,Joe Odagiri
134,2009,https://www.imdb.com/title/tt1075419/?ref_=adv_li_tt,Shinjuku Incident,119,"Action, Crime, Drama",6.9,63.0,13090,,Tung-Shing Yee,Jackie Chan,Naoto Takenaka,Daniel Wu,Jinglei Xu
135,2009,https://www.imdb.com/title/tt1183921/?ref_=adv_li_tt,The Vicious Kind,92,"Comedy, Drama",6.9,65.0,7956,,Lee Toland Krieger,Adam Scott,Brittany Snow,Alex Frost,J.K. Simmons
136,2009,https://www.imdb.com/title/tt1081935/?ref_=adv_li_tt,Baaria,163,"Comedy, Drama",6.9,,7751,0.00M,Giuseppe Tornatore,Francesco Scianna,Margareth Madè,Lina Sastri,Ángela Molina
137,2009,https://www.imdb.com/title/tt1483831/?ref_=adv_li_tt,Lebanon,93,"Drama, War",6.9,85.0,11723,0.37M,Samuel Maoz,Yoav Donat,Itay Tiran,Oshri Cohen,Michael Moshonov
138,2009,https://www.imdb.com/title/tt1091722/?ref_=adv_li_tt,Adventureland,107,"Comedy, Drama, Romance",6.8,76.0,163687,16.03M,Greg Mottola,Jesse Eisenberg,Kristen Stewart,Ryan Reynolds,Martin Starr
139,2009,https://www.imdb.com/title/tt1258197/?ref_=adv_li_tt,Exam,101,"Crime, Horror, Mystery",6.8,,119210,,Stuart Hazeldine,Adar Beck,Gemma Chan,Nathalie Cox,John Lloyd Fillingham
140,2009,https://www.imdb.com/title/tt1054606/?ref_=adv_li_tt,The Imaginarium of Doctor Parnassus,123,"Adventure, Comedy, Fantasy",6.8,65.0,151325,7.69M,Terry Gilliam,Christopher Plummer,Lily Cole,Heath Ledger,Andrew Garfield
141,2009,https://www.imdb.com/title/tt1067106/?ref_=adv_li_tt,A Christmas Carol,96,"Animation, Adventure, Comedy",6.8,55.0,121781,137.86M,Robert Zemeckis,Jim Carrey,Gary Oldman,Colin Firth,Steve Valentine
142,2009,https://www.imdb.com/title/tt1235796/?ref_=adv_li_tt,Ondine,111,"Drama, Mystery, Romance",6.8,65.0,22030,0.55M,Neil Jordan,Colin Farrell,Alicja Bachleda,Dervla Kirwan,Alison Barry
143,2009,https://www.imdb.com/title/tt1251757/?ref_=adv_li_tt,Middle Men,105,"Comedy, Crime, Drama",6.8,60.0,37972,0.72M,George Gallo,Luke Wilson,Giovanni Ribisi,Gabriel Macht,James Caan
